Screen Name	,user_id		,tweet_id		,retweet_count	,Global Influence Score,Tweet
xveai,2632485238,992180480815587328,1363,1363.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
gregmccaig,2704726838,992105016239493120,117,117.0,RT @DKMcDonald1: Recruits: If ALL things are equal we will go with the multi-sport athlete over someone who just plays football! We love to…
Trump_World,205644304,992150833386147840,610,610.0,RT @BreitbartNews: We should be able to express how we feel about issues without everybody getting so easily offended. https://t.co/JUpa0…
DLHill29,106535363,992014541943967745,116,116.0,RT @BuffsBarstool: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could b…
NCAADIII,467378905,992044551622873090,22,1.4666666666666666,The Alliance community provides such great support to our team and we wanted to take advantage of an opportunity t… https://t.co/3aNQa9yGfE
TheBenNatan,1393232936,992042752530624512,47,47.0,RT @TylerRickyTynes: 85% of sports editors 76% of assistant sports editors 80% of columnists 82% of reporters almost 78% of copy editor…
LW_Mag,39740641,992041121852329984,3,1.5,See the full list of Local &amp; International athletes competing at @Ultimate_X_ Action Sports Fest at Sun City Resort… https://t.co/hIuEgdhDla
Kevmath,14944256,992133502987628545,256,256.0,RT @richarddeitsch: .@SI_PeterKing is leaving Sports Illustrated after 29 years at the brand. https://t.co/sU5b31AgWL
pmr_sports,254506819,992031831154360320,1808,1808.0,RT @PaisajesGeo: Creo que he visto un lindo gatito https://t.co/KI9m7Z9ksD
Oohshestressful,409482990,992016301056020480,74,74.0,RT @CerromeRussell: DDDs and up struggling to get into a sports bra https://t.co/QoEu769GWF
LouMichels,1452092124,992180968109654016,147,147.0,RT @PostSports: This is not merely a dysfunctional organization burdened by some mystical inability to get right. This is a dysfunctional…
DanRayWalls,595245489,992101983074078722,266,266.0,RT @RJinVegas: For every $1 Nevada casinos WON on sports betting in March they won ...
dpartridge7097,438077057,992137896554479616,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
daguro,16059891,992129073655627777,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
aartic02,1016786527,992110841343414272,63,63.0,RT @ChoradiyaMehul: Wow Few pictures of newly built synthetic athletic track built by AAP Government at a sports complex in East Vinod Nag…
Sweedsters,1014111830,992051444676259840,700,700.0,RT @BarstoolIrish: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could b…
jaberry5,548730741,992162020488372225,55,55.0,RT @OleMissWBB: NEWS | Armintie Herrington Promoted to Assistant Coach
ZionW9,970585533163302912,991999668300103681,54,54.0,RT @SIKids: Excited to share the cover of our May issue featuring @DukeMBB-bound dunker extraordinaire Zion Williamson. Pick up a copy to…
Sean_Leahy,14969423,992139891516629000,40,40.0,RT @NBCSports: .@SI_PeterKing is coming to NBC Sports and will bring his Monday morning @NFL column.  https://t.co/IQ4QTLRCxZ
cubsfan317,94881557,992145953980407808,32,32.0,RT @danwiederer: 20 strikeouts.
Dinkeldash,3151312570,992130933305339904,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
thelostone_22,706458625464602624,992040732046184448,193,193.0,RT @dailyunnie: THIS IS MY TEAM!!!!!!! I'm crying.
Shanedling33,862482168,992141446852554754,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
goaliedadlife,3436202207,992025264992477184,154,154.0,RT @JayMcKee74: Sometimes in sports you can give every ounce of what you have and still come up just short of winning.
emilyacton22,824683166254460930,992142435433222144,1367,1367.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
AFLacrosse,70804701,992080663812689920,8,1.6,Congratulations to Seniors Nick Hruby and Andrew Tien Junior Cam Carter and Freshman Vinny Lombardi for earning A… https://t.co/BaIbACO8U7
james_rthfrd,30555169,992163953273864192,53,53.0,RT @ValleyHoops: .@MountainWest and @MVCsports have announced the pairings for the 2018 Challenge Series between the two conferences.  All…
LikwidCyance,255375589,992057818374131717,150,150.0,RT @wfaa: It's official! Dallas Cowboys' #JasonWitten is retiring. His 15-year career has come to an end. 6 reason we'll miss the tight end…
Heather_22_87,88473229,992158744086753281,74,74.0,RT @TheCWHL: There are many roles in sports that young girls need more exposure to: 
allanbrauer,16469505,992073109892050944,950,950.0,RT @KamalaHarris: Civil rights hero Patsy Mink was the first Asian American woman elected to Congress. In 1972 she co-authored legislation…
jovanhaye,1537478390,992155386101854208,69,69.0,RT @VandyFootball: Eight VU seniors have NFL rookie free agent/minicamp deals.
3lllevels,346073104,992151636331188224,54,54.0,RT @BroncosOffField: Hey #BroncosCountry!
ineeshadvs,46899351,992116099087990784,70,70.0,RT @ErikSolheim: Reduce Reuse and Recycle: Great to see @IPL cricket matches in Indore are aiming to #BeatPlasticPollution with @UNEnviron…
pweety_naza,1153032630,992139737602445312,172,172.0,RT @Godly_Life: Wear your message and share your faith!
CynthiaLobosPR,2346329041,992099811275948032,1372,1372.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
kevndriscoll,50356281,992132667318599680,126,126.0,RT @SI_ChrisStone: One of the great runs in @sinow history one of the great runs in media period. Thank you PK from the bottom of our h…
aspeed,14156602,992186946490253312,497,497.0,RT @elonjames: Uh. 
Sports_fan3,858711548,992036902323806208,1606,1606.0,RT @FoxNews: Rudy Giuliani on @POTUS: This is our best president in my memory. https://t.co/ZXegileJPy
jackgaubiii,4500738499,992149777134637056,149,149.0,RT @TheHerd: The Patriots could lose one player and they would lose value in their brand. The Cowboys are the No. 1 brand in the world a…
LFrady,604647143,992148679925608448,610,610.0,RT @BreitbartNews: We should be able to express how we feel about issues without everybody getting so easily offended. https://t.co/JUpa0…
Signet_mag,38259787,992050127169826816,1523,1523.0,RT @jemelehill: A NFL team is accused of shamelessly dangling women in front of their business partners like bait? Stunning since yanno t…
ProFootballDoc,1939860914,992189746624450560,40,5.714285714285714,Explaining why it wasn't irresponsible for Raiders to draft Maurice Hurst https://t.co/YPuI1iD9jl
Athorvin,1584347354,992074789182418945,234,234.0,RT @WarDamnStool: RT for a chance to win this LIMITED EDITION flag! They are almost sold out on the Barstool Sports store so this could be…
S_Cooper0404,783404381337157632,992103237946888193,46,46.0,RT @Trumplican101: I'm always in the wrong place at the right time.  Lol
matthew_marie,2228033500,992088414219468800,483,483.0,RT @TheNickGeller: Men want sons so they can scream at referees in little league sports. Your ideology is flawed. This whole feminist bulls…
Gabemader,223654205,992085079773106180,266,266.0,RT @RJinVegas: For every $1 Nevada casinos WON on sports betting in March they won ...
Soxfan73,35024741,992127620711092229,896,896.0,RT @TheOnion: White Sox Promotion Puts First 9 Fans At Ballpark In Starting Lineup https://t.co/tCaeELTih6 https://t.co/5Fb2f8fgeA
BillyGraves13,464224160,992087255727656966,483,483.0,RT @TheNickGeller: Men want sons so they can scream at referees in little league sports. Your ideology is flawed. This whole feminist bulls…
baeveryy,2194551815,992167741015707648,1516,1516.0,RT @jemelehill: A NFL team is accused of shamelessly dangling women in front of their business partners like bait? Stunning since yanno t…
aclark414,389814820,992096569045368833,175,175.0,RT @Reflog_18: Toronto Ontario professional sports schedule for May 3 2018:
coliciamingo,899841528,992046370717618177,1134,1134.0,RT @nytimes: Topless photo shoots in front of male sponsors and an uneasy night out: Redskins cheerleaders describe an overseas trip that c…
RickMaese,37433403,992152267401900032,147,147.0,RT @PostSports: This is not merely a dysfunctional organization burdened by some mystical inability to get right. This is a dysfunctional…
QuarterPress,1870338828,992107085381951489,16,0.6666666666666666,Arctic Monkeys presentaron cuatro nuevas canciones: 'Four Out Of Five' 'One Point Perspective' 'She Looks Like Fu… https://t.co/SFIocwgUvs
doreli12,1319867221,992186164676255744,1360,1360.0,RT @NYTSports: EXCLUSIVE: Redskins cheerleaders say they were required to go to a Costa Rica nightclub with male sponsors who earlier watc…
petrich05d,992087691146776579,992096938689421314,346,346.0,RT @SportXChain: Sport X Blockchain-Based Sports IP Value Transmission Platform To Commence SOX Token EC20 Distribution Pen Agreements W…
MarkMnowell,2230622836,992085756654096389,425,425.0,RT @IL0VEthe80s: Retweet if you had one of these sports bags for school... https://t.co/hmKzc6FQfl
pamela_pmlpatt,2590275548,992115880199847936,51,51.0,RT @PACBI: Amnesty International slams #Giro101 for sports-washing Israel's violations of Palestinian human rights. #ShameOnGiro https://t.…
