Descending order of local infl score,user@mention,Rank
1004.0,sugafull27,1
940.0,CrossProb,2
714.0,Michael_Buffer,3
700.0,jamescharles,4
610.0,JasonManford,5
427.0,John_Kavanagh,6
384.0,GTBaseball,7
302.0,iubiscuit,8
249.5,ramyeonduo,9
207.0,GetOnSwag,10
178.0,kenbensinger,11
174.0,Patricia_J,12
169.0,DaPatMac,13
141.0,dabeard,14
135.0,aidosaur,15
128.0,MikeGarafolo,16
126.0,btowncoachmay,17
125.0,AndyOstroy,18
124.0,nicole_mendes_,19
104.0,renoomokri,20
100.0,aakhtar,21
96.0,AnimalLeague,22
86.0,dfstoken,23
81.0,BTSportBoxing,24
73.0,Realmadridplace,25
72.0,NRandonFactor,26
72.0,lthomasnews,27
68.33333333333333,LorelaisLife,28
61.0,politico,29
57.0,4freedominiran2,30
56.0,OtiAdjei,31
55.0,HermanDHerman,32
55.0,naexjr,33
54.0,RedNationBlogga,34
54.0,cuttingedge2019,35
51.0,SofaRacer,36
51.0,killakow,37
50.0,DNA_GTFOH,38
47.5,SecretMovesMMA,39
46.0,brayden_mcmahan,40
43.0,ORachaelO,41
43.0,tobiologist,42
41.0,Sammy_Goal,43
40.0,pressfreedom,44
39.0,lizziethat,45
38.0,ChelsTransfer,46
38.0,ashtonsims26,47
38.0,newsdaymarcus,48
36.0,stevedittmore,49
36.0,WaywardWinifred,50
36.0,ZhuzhengtingT,51
34.0,Castricone,52
33.0,CrowfootJim,53
33.0,raviubha,54
31.0,nyleakeel23,55
31.0,BET,56
29.0,DiracDrynx,57
29.0,Bodybuildingcom,58
29.0,UA_Athletics,59
27.0,JayGlazer,60
26.0,KeithOlbermann,61
25.0,swearimnotpaul,62
25.0,peugeotsport,63
25.0,MyTPI,64
24.0,ChaimaeB13,65
24.0,VixenScience,66
24.0,tokenpay,67
23.0,QueenKennKayy,68
23.0,richard_conway,69
23.0,KerryLynne36,70
23.0,thekickart,71
22.0,UQPoche,72
22.0,DanielleDwyerTV,73
22.0,searchfm923mx,74
21.0,dawson_johnsonn,75
21.0,bdtwoodson,76
21.0,zeusFanHouse,77
21.0,ihavebeensober,78
20.0,TrunkmanUK,79
20.0,nvrwlkln,80
20.0,IndianCharlie1,81
19.0,orwellguy,82
19.0,PitchingNinja,83
19.0,mattlyynch,84
19.0,kcg__,85
19.0,PeteSampson_,86
19.0,BulawayoChiefs,87
18.0,_pivx,88
18.0,KingsTheBrand,89
18.0,notesfrompoland,90
18.0,_HelenHollywood,91
18.0,SufferBall,92
18.0,YordenisUgas,93
17.666666666666668,FCBarcelonaFl,94
17.0,andrew_ruscoe,95
17.0,GracelandU_MBB,96
17.0,TheNavajoNinja,97
17.0,Morgan_Swoboda,98
17.0,dev9t9ok,99
17.0,DRFLivingston,100
17.0,NevilleSouthall,101
17.0,Tiger_Balm_US,102
16.0,BoogSciambi,103
15.5,MostafaMe4,104
15.0,Mac734Man,105
15.0,cjponyparts,106
15.0,KCJHoop,107
15.0,EdLatimore,108
15.0,Trojanpak_2019,109
15.0,webfashioner,110
15.0,ReadMoreBible,111
15.0,howcomeyousmell,112
15.0,NadiaSinghNews,113
15.0,bet365,114
15.0,WillStewNeuro,115
14.0,WrstleLikeAGirl,116
14.0,CoachWertz12,117
14.0,KyleRancourt,118
14.0,KellyLevenda,119
14.0,NorthTexan,120
14.0,JohnMcCarthyMMA,121
14.0,garylfrancione,122
14.0,FanSince09,123
14.0,CoachFerrell1,124
14.0,JT_Evans97,125
14.0,da13thsun,126
14.0,DennisGucci,127
14.0,numbrrzz,128
13.0,CoinWithHeart,129
13.0,zoecoronaa,130
13.0,imaplayerus,131
13.0,the_hindu,132
13.0,ProctorRails,133
13.0,ukshaolintemple,134
13.0,RetroNewsNow,135
13.0,ShaneNPhillips,136
12.666666666666666,greennomad61,137
12.5,Cyclo_2k,138
12.0,fcsavibes,139
12.0,bufnewspreptalk,140
12.0,LFCknowledge,141
12.0,EnjoyInterNews,142
12.0,AlexKennedyNBA,143
12.0,airmax_power,144
12.0,Rama4des,145
12.0,vlazlo2020,146
12.0,yuzuspiration,147
12.0,Lowskii13,148
12.0,TheNightGallery,149
11.75,StevenKelsey13,150
11.666666666666666,ACMilanSydney,151
11.214285714285714,TokenStars,152
11.0,AlanZionist,153
11.0,TRXtraining,154
11.0,CivvyKarla,155
11.0,leegartner,156
11.0,spectatemadrid,157
11.0,DrDiscHamilton,158
11.0,JrMoe_,159
11.0,Namouniho,160
10.0,AhmedMarsha,161
10.0,domoxtiger,162
10.0,sportsdrzaf,163
10.0,DumoEgo,164
10.0,BearArchery,165
10.0,CCUIMSports,166
10.0,sergbarrientos,167
10.0,kodes03,168
10.0,kashthefuturist,169
10.0,holzer_tanya,170
10.0,BloodHorse,171
10.0,JenLouiseWilson,172
10.0,IntFSPT,173
10.0,WSCV2017,174
10.0,EGAAUS,175
10.0,QuintusCurtius,176
10.0,BardishKW,177
10.0,CarvalhoJTElite,178
10.0,FreemanrugbyJPN,179
10.0,VisitCZ,180
10.0,Thegroz,181
10.0,SunlakeSoftball,182
10.0,WMUR9,183
10.0,JillBMyers,184
9.5,WestmorelandSN,185
9.0,warner_jene3,186
9.0,ClassicCars_com,187
9.0,PvBoiZeroni,188
9.0,MMindrumMD,189
9.0,nomifooty,190
9.0,just_Jimz,191
9.0,TheRealC_Los,192
9.0,BarstoolSam,193
9.0,ApexOnRacing,194
9.0,rachbarnhart,195
9.0,jacklstickney,196
9.0,darthplaygues,197
