user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
elonmusk,44196397,1,1005582744980606976,3360,3360.0,19 years ago when my 1st company got bought I had to decide between buying a house in Palo Alto or a McLaren F1 (best car ever imo). Was no contest. I bought F1 & a small condo that was much cheaper than the car. New Tesla Roadster will exceed all gas sports cars in every way…
ARmastrangelo,26520948,1,1007763374120275970,1370,1370.0,I dont carry a firearm for hunting for protecting myself from potential attackers on the street or for sportAll of those reasons are perks of having the #2AI carry a firearm to dissuade government from becoming tyrannical; to remind government that it is SUBORDINATE to ME
Saber_Says,909664162946666496,1,1012116791785656320,567,567.0,Shirou: Saber!Saber: *cough* m-master...Shirou: Saber stay with me we have to win...Saber: The opponents are beyond my strength...Shirou: Never give up Saber we can win...Shirou: WE CAN WIN WII SPORTS TOGETHER!*Wii Sports Theme Song kicks in* pic.twitter.com/jciMVqsXmI
GTBaseball,112816422,1,1003777828905631745,384,384.0,With the  pick in the 2018 @MLBDraft the @SFGiants have selected Georgia Tech’s Joey Bart Joey is the highest #MLBDraft pick in #GaTech history and tied for the highest @GTAthletics pick in a major professional sports draft! #TogetherWeSwarm #ProJacketspic.twitter.com/VekQ9hUOAI
GetOnSwag,3131557841,1,1003757324501176321,207,207.0,180531 Mnet M!Cowntdown [ JIMIN #JIMIN #BTS #지민 #방탄소년단 ]KOLON SPORT - NOMAD palm trees robe approx. 140 usd pic.twitter.com/VIni7BBRej
CardsFromAttic,850435801687183362,1,1006685974695501824,173,173.0,Who wants a batch of mixed sports? #AtticSalesRookies autos & relics. These are the four lots I listed earlier. I will sell all the lots for $100 delivered. Everything pictured is included. 90+ cards.RETWEET for a chance to win an AUTO & RELIC #PrizePack. Winner picked 6/14pic.twitter.com/rLgrCHYu9J
MikeGarafolo,12513132,1,1002669352884293632,128,128.0,Carson Wentz’s @AO1Foundation tonight will present a check for $520k to Mission of Hope Haiti for the construction of a sports complex in Haiti. Wentz also announces a food truck titled “Thy Kingdom Crumb” will drive around Philly giving out free food to those in need. pic.twitter.com/7ZdsR72HLI
AndyOstroy,123281100,1,1003786656669978625,125,125.0,The United States president isnt welcome at weddings. Hes not welcome at funerals. He cant go to the WH Coresps dinner. The Kennedy Center Honors. Championship sports teams dont want to be with him at the WH. Hes toxic. A pariah. A scourge on America & the world.... #Trumphttps://twitter.com/jaketapper/status/1003777598906863616 …
nicole_mendes_,1064720095,1,1003368286569029632,124,124.0,“There is no one Holy like The Lord;there is no one besides You;there is no Rock like our God.”                            1 Samuel 2:2 •Win or lose I praise you Lord. •I love this team. I love this school. I love this sport. I love our fans. I love my God.
politico,9300262,1,1007033316929867776,61,61.0,What makes Gaza different for some is that attacking Israel is their favorite political sport Nikki Haley said.She also said that one-sided politics condemn Israel but make not one mention of Hamas who routinely initiates violence in Gaza pic.twitter.com/Obmc2JSNox
FootyAccums,263257931,1,1006638203946881030,58,58.0,Manchester United is the world’s most valuable football team in the World.They are worth $4.12 billion up from $3.69 billion last year.10 most valuable Sports teams:1. Dallas Cowboys2. Manchester United3. Real Madrid4. Barcelona5. New York YankeesCredit: @Forbespic.twitter.com/pxDfXiPQUF
Pirates,37947138,1,1013548047857483776,57,57.0,File this under Hashtag Good Tweet:Pirates rookie Colin Moran has 2 grand slams this season.....Per Elias (Sports Bureau not Diaz) the only other Pirates rookie to hit more than one grand slam in one season was Wally Westlake with two in 1947.  pic.twitter.com/YJzN9uV4lM
OtiAdjei,32858257,1,1004863796949803008,56,56.0,Kurt Okraku has told @nyannthierry on Sports Unlimited that the GFA excomm will seek audience with govt to try to resolve impasse. I imagine govts line will be just walk. Tell your boss to quit.That statement from the FA this morning suggested they just wont. #3Sports
