Global_influence_score	,screen_name	,Global_rank
995.0,mustafatelli271,1
995.0,hacsomuncuoglu1,2
994.0,merveme97360259,3
993.0,alyssa60256271,4
993.0,CarolanneWilso3,5
993.0,Evvielu,6
993.0,saroona_44,7
993.0,alyssa60256271,8
993.0,officialodirile,9
993.0,Andrea_o0,10
993.0,Harris_Says,11
993.0,Oh_JaMiL,12
993.0,avalon31635,13
993.0,ririndlt,14
993.0,TimmyRy77941036,15
993.0,HeatherMischief,16
993.0,louiskid502,17
992.0,GabeSalgado82,18
992.0,GabeSalgado82,19
992.0,orion_nwsf,20
992.0,GabeSalgado82,21
992.0,_Midwest_Sports,22
992.0,_Midwest_Sports,23
992.0,libsuperstar,24
992.0,Martenzie,25
992.0,JohnScarlett12,26
992.0,JohnScarlett12,27
992.0,IsThisShitOn,28
992.0,JoeOHareComedy,29
992.0,shahbazhatesyou,30
992.0,Senn_Riccioni,31
992.0,aly_hull,32
992.0,ImVais,33
992.0,WWEFanducatch,34
992.0,LisaLovecraft,35
992.0,Dhanwan41304149,36
992.0,dontfollowrc,37
992.0,JeromefreakinN,38
992.0,WWEFanducatch,39
992.0,WWEFanducatch,40
992.0,_WillGreyson_,41
992.0,refiloelol,42
992.0,PANDA_ZACH_,43
992.0,_Midwest_Sports,44
992.0,orion_nwsf,45
992.0,SIMplyDesmond,46
992.0,real1bell,47
992.0,josephmthomas7,48
992.0,real1bell,49
992.0,real1bell,50
992.0,IsThisShitOn,51
992.0,BabyAhzria,52
992.0,ToddyBaseball,53
992.0,TrevsMac,54
992.0,YaBoy__KJ,55
992.0,libsuperstar,56
992.0,brianhwaters,57
992.0,DAREALGUMMY,58
992.0,CyndiMcGonigal1,59
992.0,cubs_bug,60
992.0,kaitlynsaunders,61
992.0,RakeshToRocky,62
992.0,WillAkaUrHost,63
992.0,theartonacanvas,64
992.0,prophecypro,65
992.0,boosuckaboo,66
992.0,f5alcoolico,67
992.0,ThroughMyKyes,68
992.0,wrasslingaddiic,69
992.0,Kinshasaa_,70
992.0,1016lostxboy,71
992.0,CNCOMixer26,72
992.0,Wogbog96,73
992.0,Timgus1994,74
992.0,akell0828,75
992.0,Docwhiskey,76
992.0,lightingbray,77
992.0,RilkeRainer,78
992.0,DailyTucsonan,79
992.0,JulieDiCaro,80
992.0,DailyTucsonan,81
992.0,CNCOMixer26,82
992.0,DCSpinofficial,83
992.0,BajanNeko,84
992.0,justinvicky8,85
992.0,N7IRL,86
992.0,gogojojo331,87
992.0,Martenzie,88
992.0,DailyTucsonan,89
992.0,JulieDiCaro,90
992.0,Bootwala32,91
992.0,AstroTsukino,92
992.0,MurphyColeman,93
992.0,Katamabob,94
992.0,BrandyJavancy,95
992.0,chrismac2562,96
992.0,organizedkaos85,97
992.0,SolomonParrot,98
992.0,NoorUlAinTariq1,99
992.0,AlexAzziNBC,100
992.0,HeelMaggle,101
992.0,Dubritos,102
992.0,DrownedAmmet,103
992.0,BrendaSchory,104
992.0,jntanis,105
992.0,BrendaSchory,106
992.0,raphanbraz,107
992.0,Cheeselatan,108
992.0,MattHirsch08,109
992.0,ItalicRegent46,110
992.0,MsGolfLover,111
992.0,blivi,112
992.0,llennavictoria,113
992.0,EphraimTD,114
992.0,EphraimTD,115
992.0,wolfofthestars7,116
992.0,jrumseywilson,117
992.0,khallod1403,118
992.0,EphraimTD,119
992.0,BlovedWanderer,120
992.0,Dave_Cochran,121
992.0,GabeSalgado82,122
992.0,sandiesideup,123
992.0,CNCOMixer26,124
992.0,FatVeganCommie,125
992.0,absurdistwords,126
992.0,MarkCardinal307,127
992.0,AndrewTweetGio,128
992.0,edap63,129
992.0,JohnScarlett12,130
992.0,maya511maya,131
992.0,alvinebks,132
992.0,llennavictoria,133
992.0,DashingSoulJay,134
992.0,TheChadVicious,135
992.0,LucasTheShurk,136
992.0,PhillipDBurns,137
992.0,YourPalSals,138
992.0,Bernier63,139
992.0,stanglynn,140
992.0,TweetVRproject,141
992.0,Amandine13,142
992.0,bearyJose,143
992.0,ENKMitchell,144
992.0,seigvin,145
991.0,hezzy__,146
991.0,rachtheginger,147
991.0,Kezelem_TL,148
991.0,BeardedTommyICR,149
991.0,nkimber21,150
991.0,JediFett,151
991.0,KaseyMitchem,152
991.0,iBrandonB,153
991.0,BillaliYsf,154
991.0,rocksteadybae,155
991.0,ParitoshBiswas5,156
991.0,gwennypenny123,157
991.0,nafiu_md,158
991.0,Numba1Jerm,159
991.0,bigblood626,160
991.0,LeeshaDarling,161
991.0,ynneJ97xX,162
991.0,TheFookFace,163
991.0,mookiemcclove,164
991.0,MLGALTA1R,165
991.0,GiftOfJoshico,166
991.0,SantinoBros,167
991.0,BrendaT_1997,168
991.0,qmfizer,169
991.0,Grillinessou,170
991.0,strikeromega,171
991.0,hezzy__,172
991.0,Beffy42,173
991.0,Jennysbrood,174
991.0,iqbal_ch6,175
991.0,somxley,176
991.0,notfullymetal__,177
991.0,msalyss85,178
991.0,avidmom2017,179
991.0,vr2312,180
991.0,2_EPIC_ANT,181
991.0,P_O_D7,182
991.0,InternDeacon,183
991.0,212oxymoron,184
991.0,Zinga5041991,185
991.0,ginawendi1,186
991.0,KAIN_EM,187
991.0,DOITWITHFLAlR,188
991.0,rachtheginger,189
991.0,ElCaptBuck,190
991.0,mledbetter41416,191
991.0,imFzn7,192
991.0,dbvance1,193
991.0,barefeethusky,194
991.0,RiveraARicardo,195
991.0,enrico0831,196
991.0,Theebarbaraa,197
991.0,MikeBurmy,198
991.0,misskittyf,199
991.0,imranmallah786,200
991.0,CertifiedToniG,201
991.0,imranmallah786,202
991.0,MarioDCadena,203
991.0,NimraAK259,204
991.0,rrbrooks78,205
991.0,acoi__,206
991.0,randirahman,207
991.0,jay_wyrick,208
991.0,Katscratch10,209
991.0,RebeccaLee83,210
991.0,SamHexagon,211
991.0,ArdValon,212
991.0,fabien_fichaux,213
991.0,MARKOUTTV,214
991.0,hxnd7,215
991.0,CecilKeithTurn1,216
991.0,moniquelam7,217
991.0,geeksestra,218
991.0,SaulAlejandr00,219
991.0,legitreignglow,220
991.0,Yoshua_H,221
991.0,Rosey_Thorne,222
991.0,giugnettu,223
991.0,ItzelLaluna,224
991.0,LastMinuteLeese,225
991.0,BullyD0zer,226
991.0,BrianHasten80,227
991.0,Chrislp427,228
991.0,Hayabusate61573,229
991.0,jglmac,230
991.0,Redtodocampista,231
991.0,nilknarf29,232
991.0,gerciksinan,233
991.0,The_Vent_Line,234
991.0,MBrown6221,235
990.0,usg1inc,236
990.0,AprilleRoberts,237
990.0,JustinM86696301,238
990.0,twogap,239
990.0,RenityNicole,240
990.0,swagmoneydani,241
990.0,DunholmeDevil,242
990.0,NikkiNayme,243
990.0,MissLucyMarie,244
990.0,JBodine1122,245
990.0,mashman4077,246
990.0,Redesign_Skylar,247
990.0,kareuuuh,248
990.0,Jay_Lee101,249
990.0,ronnieguadawwe,250
990.0,Junkpunks1,251
990.0,cledra,252
990.0,alluras_wife,253
990.0,AlistairMcDowa1,254
990.0,alluras_wife,255
990.0,TheSkeletonX,256
990.0,StallionDuckx3,257
990.0,Shrek_Savage,258
990.0,Netstryke,259
990.0,ewa7497,260
990.0,zainbasit,261
990.0,Bdecker14,262
990.0,baIors,263
990.0,Klodiahk13,264
990.0,wrestlebuddy,265
990.0,punkednic,266
990.0,robeeeert24,267
990.0,joannlewis123,268
990.0,naomi_glow,269
990.0,reilly21106,270
990.0,ambamrae27,271
990.0,azamshofiul,272
990.0,Ryan2k18,273
990.0,ashley_derant,274
990.0,itsBanux,275
990.0,kern626,276
990.0,YxBLarry_,277
990.0,AnaWWEFan,278
990.0,AnaWWEFan,279
990.0,AnaWWEFan,280
990.0,mattpt55,281
990.0,daredevil_r,282
990.0,Strawbrypoptart,283
990.0,Strawbrypoptart,284
990.0,MrT0pN0tch,285
990.0,Lewisscofield21,286
990.0,wXwraphi,287
